date,lat_dd,long_dd,date_lag_0,lat_lo,lon_lo,P (dbar),salinity (psu),temp (in_situ),DO (umol/L),DO (umol/kg),pH,pCO2 (uatm)
8/31/2003,46.30416667,-124.725,8/31/2003,46.306306,-124.719472,600.56902,34.17495597,4.926811929,60.74736712,58.98887349,7.586886252,1143.284839
9/1/2003,46.73194444,-124.9302778,9/1/2003,46.738739,-124.930693,656.8310848,34.20712822,4.833341092,69.61080725,67.57633108,7.598342306,1098.944028
9/1/2003,46.71916667,-124.8186111,9/1/2003,46.720721,-124.825083,279.0645145,33.93866409,6.233469942,98.0771995,95.40823869,7.636104796,1040.005428
9/1/2003,46.92416667,-125.0963889,9/1/2003,46.918919,-125.089109,960.3921449,34.34598858,3.569660055,54.19437569,52.52580737,7.578521849,1116.63901
9/1/2003,47.01416667,-124.9827778,9/1/2003,47.009009,-124.983498,345.317549,34.03430848,5.99927195,89.02641418,86.56904274,7.626720668,1059.960396
9/2/2003,47.56361111,-125.4361111,9/2/2003,47.567568,-125.432343,928.0901831,34.31025215,3.662864096,48.88075686,47.38442167,7.567844109,1153.114575
9/2/2003,47.54,-125.1819444,9/2/2003,47.531532,-125.194719,580.3694173,34.14024037,5.054495626,69.14477695,67.15210043,7.594317546,1121.090589
9/2/2003,47.57666667,-125.0622222,9/2/2003,47.585586,-125.062706,276.0316575,33.95061978,6.295318224,100.3588174,97.62902465,7.638647326,1034.09967
9/2/2003,47.64055556,-124.9427778,9/2/2003,47.63964,-124.930693,127.2035481,33.49275277,6.909935975,126.0675997,122.7732437,7.675574761,952.4139703
9/3/2003,47.72861111,-124.8533333,9/3/2003,47.72973,-124.851485,94.48523253,33.48598706,6.814726822,130.8293088,127.4282871,7.688546313,923.9427394
9/3/2003,47.84111111,-125.0133333,9/3/2003,47.837838,-125.009901,120.3185687,33.47583528,6.852793972,126.1910141,122.8978823,7.672122929,959.6154618
9/3/2003,47.83888889,-125.1055556,9/3/2003,47.837838,-125.115512,219.2510904,33.85639637,6.480843014,106.6762694,103.8111387,7.643591338,1025.271455
9/3/2003,47.71388889,-125.2277778,9/3/2003,47.711712,-125.221122,779.3608469,34.22804169,4.275543286,59.02547841,57.26425635,7.578906179,1137.324954
9/3/2003,47.65944444,-125.1563889,9/3/2003,47.657658,-125.168317,637.7564765,34.17571484,4.678187498,65.34691446,63.44275496,7.589743825,1124.982275
9/4/2003,48.095,-125.8552778,9/4/2003,48.09009,-125.854785,850.6559926,34.27226288,3.941554547,55.19985966,53.53182967,7.573742177,1142.844357
9/4/2003,47.93666667,-125.7483333,9/4/2003,47.927928,-125.749175,928.1884389,34.2982906,3.808685848,48.78107769,47.28900498,7.564661301,1163.332054
9/4/2003,47.76916667,-125.7058333,9/4/2003,47.765766,-125.69637,1125.607159,34.36471393,3.214949003,46.04077218,44.58801588,7.559114544,1149.999356
9/5/2003,48.34388889,-125.0066667,9/5/2003,48.342342,-125.009901,229.8256671,33.82147126,6.418631143,117.1610192,114.0107845,7.640428943,1019.310185
9/5/2003,48.32916667,-125.3244444,9/5/2003,48.324324,-125.326733,110.1985608,33.66336779,6.593069311,129.3706346,125.9780068,7.696997125,905.4665888
9/5/2003,48.2275,-125.1786111,9/5/2003,48.234234,-125.168317,180.3201217,33.75818751,6.501765753,122.5770963,119.3147799,7.670246395,956.7421903
9/6/2003,48.16055556,-124.895,9/6/2003,48.162162,-124.90429,82.87282185,33.2926308,7.16948766,142.2043096,138.5419653,7.731817372,835.0255305
9/6/2003,48.0925,-125.0327778,9/6/2003,48.09009,-125.036304,257.4446287,33.88353985,6.357117289,119.1315545,115.9075644,7.677847863,935.4332441
9/6/2003,48.15611111,-125.1158333,9/6/2003,48.162162,-125.115512,209.1074373,33.84446239,6.372665328,116.6840251,113.5544705,7.660945957,977.5676577
9/6/2003,47.99777778,-124.9575,9/6/2003,48,-124.957096,98.6776835,33.44361561,6.944145378,131.1665949,127.7607616,7.706068704,888.9464177
9/7/2003,48.00277778,-125.2280556,9/7/2003,48,-125.221122,160.576876,33.61929937,6.789127002,118.9163615,115.7784494,7.665831259,974.5001514
9/7/2003,48.04388889,-125.1322222,9/7/2003,48.036036,-125.141914,140.5038262,33.5229037,6.898522014,118.3874614,115.2840848,7.659693385,991.0316888
9/7/2003,48.07694444,-125.3247222,9/7/2003,48.072072,-125.326733,221.4563172,33.85730111,6.330837362,118.9344958,115.7364455,7.677032858,940.7553159
9/7/2003,48.11388889,-125.6038889,9/7/2003,48.108108,-125.590759,153.752362,33.41042874,6.933190083,143.0469026,139.3015606,7.735629517,820.0058473
9/8/2003,47.29555556,-124.8802778,9/8/2003,47.297297,-124.877888,383.5928436,34.01932175,6.075780014,90.24295911,87.73886993,7.622275587,1066.760235
9/8/2003,47.2925,-124.7641667,9/8/2003,47.297297,-124.772277,209.5217958,33.730692,6.694156652,118.0054496,114.8552722,7.675293557,949.7892886
9/8/2003,47.02916667,-124.6841667,9/8/2003,47.027027,-124.693069,106.9803211,33.36422721,7.168514854,109.7613009,106.9170125,7.615847673,1106.662094
9/12/2003,46.59055556,-124.6869444,9/12/2003,46.594595,-124.693069,705.8792119,34.22921931,4.620537659,68.93697851,66.90467911,7.597934899,1092.872188
9/12/2003,46.43222222,-124.6327778,9/12/2003,46.432432,-124.640264,956.9343967,34.31383679,3.394264728,55.97060126,54.24840447,7.582050665,1102.92909
9/12/2003,46.15166667,-124.7666667,9/12/2003,46.144144,-124.772277,739.1106724,34.23728861,4.266048867,56.60625579,54.92664458,7.582211349,1136.099504
9/13/2003,46.0475,-124.83,9/13/2003,46.054054,-124.825083,433.6336736,34.07488918,5.869310503,83.20456748,80.87212122,7.616769705,1077.166423
9/13/2003,46.07472222,-124.7155556,9/13/2003,46.072072,-124.719472,327.4761681,33.96657861,6.362205719,95.91488197,93.28412738,7.619044319,1077.557357
9/13/2003,45.95111111,-124.3652778,9/13/2003,45.945946,-124.376238,139.4746624,33.71286661,6.831507755,104.3977294,101.6458495,7.622214778,1087.992914
9/13/2003,45.79111111,-124.525,9/13/2003,45.783784,-124.534653,180.3753168,33.73996223,6.797296055,102.3977775,99.67777495,7.615798026,1100.092037
9/14/2003,45.72277778,-124.3047222,9/14/2003,45.72973,-124.29703,140.0974764,33.6586993,6.943490354,114.3105494,111.3033693,7.647587069,1021.926121
9/14/2003,45.59361111,-124.7747222,9/14/2003,45.585586,-124.772277,588.2616595,34.14506552,4.993221598,64.79903785,62.92870553,7.596713324,1115.367574
9/14/2003,45.36972222,-124.7119444,9/14/2003,45.369369,-124.719472,490.5434786,34.09193685,5.682039351,81.69354716,79.38034136,7.609986978,1085.601586
9/14/2003,45.29694444,-124.5663889,9/14/2003,45.297297,-124.561056,447.7581551,34.04910075,6.034133368,90.88464035,88.33498097,7.619600589,1062.814426
9/14/2003,45.09472222,-124.2597222,9/14/2003,45.099099,-124.270627,171.8521823,33.87044035,6.549900537,103.0063916,100.2607839,7.644415565,1030.663519
9/15/2003,45.1375,-124.51,9/15/2003,45.135135,-124.508251,361.486148,34.00557215,6.263684995,91.03753862,88.52328664,7.616022623,1082.601119
9/15/2003,45.12972222,-124.7266667,9/15/2003,45.135135,-124.719472,445.1890708,34.05578366,5.803251822,85.34275558,82.9466008,7.617288399,1071.982323
9/15/2003,45.09027778,-124.7072222,9/15/2003,45.099099,-124.719472,364.0631666,33.98073881,6.26553137,92.66989266,90.11125638,7.627337388,1055.916002
9/15/2003,44.95444444,-125.0286111,9/15/2003,44.954955,-125.036304,1059.854732,34.36738881,3.354069871,42.00153156,40.68869879,7.563966376,1154.456147
9/15/2003,44.60638889,-125.0972222,9/15/2003,44.612613,-125.089109,968.7235713,34.30806264,3.766511847,44.3954372,43.02924368,7.562682455,1168.0961
9/16/2003,44.93166667,-124.4827778,9/16/2003,44.936937,-124.481848,315.4695652,33.96082614,6.460647281,91.71208018,89.20294468,7.611957522,1098.933628
9/16/2003,44.69694444,-124.4205556,9/16/2003,44.702703,-124.429043,109.151368,33.43714515,7.299322232,136.6024818,133.0564057,7.701013564,898.9182343
9/16/2003,44.51083333,-124.2463889,9/16/2003,44.504505,-124.244224,70.64484543,33.48045345,7.369355899,84.73569506,82.54829183,7.506053834,1450.217057
9/16/2003,44.33277778,-124.3083333,9/16/2003,44.324324,-124.29703,71.48374979,33.42045229,7.438563664,111.5608549,108.6866308,7.614330083,1116.405236
9/16/2003,43.93722222,-124.2883333,9/16/2003,43.945946,-124.29703,100.2938212,33.60123799,7.79940964,90.2123251,87.86906041,7.5316482,1364.700032
9/17/2003,44.12166667,-124.9925,9/17/2003,44.126126,-124.983498,422.495303,34.03771392,6.18154934,82.11338607,79.82106906,7.610893718,1095.940243
9/17/2003,44.45166667,-124.8930556,9/17/2003,44.45045,-124.90429,429.5469423,34.07224074,5.883781901,82.2875035,79.98252286,7.614128963,1084.48064
9/17/2003,43.63,-125.0497222,9/17/2003,43.621622,-125.062706,951.0958613,34.30550554,3.683886615,46.09404178,44.67872741,7.5715784,1147.456451
9/17/2003,43.44305556,-124.8766667,9/17/2003,43.441441,-124.877888,616.212758,34.1258701,5.077632416,55.22577099,53.62643476,7.568332747,1190.110748
9/18/2003,43.7125,-124.6427778,9/18/2003,43.711712,-124.640264,354.7019444,34.0257548,6.662586611,78.99179597,76.81550709,7.59696872,1138.529813
9/24/2003,43.27361111,-124.7036111,9/24/2003,43.279279,-124.693069,253.5467663,33.97659748,7.337095905,88.74884553,86.35404894,7.605255092,1129.226621
9/24/2003,43.25666667,-124.9516667,9/24/2003,43.261261,-124.957096,929.8291401,34.32256855,3.678485534,47.20859311,45.76277447,7.567420813,1154.219982
9/24/2003,42.94194444,-124.8416667,9/24/2003,42.936937,-124.851485,195.8506474,34.00316022,7.679828897,106.9616965,104.1051824,7.656178432,1002.523731
9/25/2003,42.88,-124.8944444,9/25/2003,42.882883,-124.90429,414.6217721,34.06288953,6.385126585,78.13128454,75.95348597,7.610023414,1097.307858
9/25/2003,42.86916667,-124.8263889,9/25/2003,42.864865,-124.825083,283.4853318,34.02739364,7.643970382,109.5840711,106.6134496,7.665229414,971.3126102
9/25/2003,42.70138889,-124.6794444,9/25/2003,42.702703,-124.666667,151.20122,33.86639018,7.78390558,136.8089353,133.1978017,7.740163437,817.175793
9/27/2003,42.59111111,-124.7122222,9/27/2003,42.594595,-124.719472,264.1807566,34.03383806,7.793731909,111.1305133,108.129127,7.673501746,955.3638576
9/27/2003,42.35888889,-124.6719444,9/27/2003,42.36036,-124.666667,159.955209,33.91580729,7.834907382,124.5540096,121.2579221,7.709395608,882.8864075
6/24/2003,46.15666667,-124.5155556,6/24/2003,46.162162,-124.508251,137.94899,33.48829482,7.069331432,144.8673418,141.0785281,7.74145798,813.4631389
6/24/2003,46.50388889,-124.7325,6/24/2003,46.504505,-124.719472,617.393216,34.18465367,4.955152027,72.61572274,70.50810677,7.604019826,1088.686788
6/24/2003,46.755,-124.5427778,6/24/2003,46.756757,-124.534653,101.7871406,33.51604787,6.908718848,105.563244,102.8146043,7.617529559,1106.255374
6/25/2003,47.60194444,-124.8155556,6/25/2003,47.603604,-124.825083,102.8008434,33.3587063,7.028405898,132.3057372,128.8778545,7.685856211,934.4630527
