date,lat_dd,long_dd,date_lag_4yearminus,lat_lo,lon_lo,P (dbar),salinity (psu),temp (in_situ),DO (umol/L),DO (umol/kg),pH,pCO2 (uatm)
8/31/2003,46.30416667,-124.725,8/31/1999,46.306306,-124.719472,600.5708115,34.16788929,4.903933055,61.8085149,60.0194567,7.600555346,1106.181358
9/1/2003,46.73194444,-124.9302778,9/1/1999,46.738739,-124.930693,656.8318548,34.19262466,4.967212359,67.6152394,65.64093873,7.607263591,1077.44039
9/1/2003,46.71916667,-124.8186111,9/1/1999,46.720721,-124.825083,279.0648182,33.99179641,6.88100619,108.5036354,105.5558087,7.674871097,950.5209163
9/1/2003,46.92416667,-125.0963889,9/1/1999,46.918919,-125.089109,960.3937654,34.32114146,3.71556376,51.95822846,50.3603348,7.582627612,1107.513495
9/1/2003,47.01416667,-124.9827778,9/1/1999,47.009009,-124.983498,345.3195339,34.0596545,6.321258001,90.44044919,87.94606927,7.635185178,1040.244807
9/2/2003,47.56361111,-125.4361111,9/2/1999,47.567568,-125.432343,928.0906778,34.3136673,3.776295802,48.66153708,47.17240585,7.576780256,1130.78317
9/2/2003,47.54,-125.1819444,9/2/1999,47.531532,-125.194719,580.3693128,34.1841764,5.114028163,67.90299788,65.94437064,7.605898494,1092.317451
9/2/2003,47.57666667,-125.0622222,9/2/1999,47.585586,-125.062706,276.030878,33.97991705,6.823139705,106.1233069,103.2417242,7.66416638,977.1849746
9/2/2003,47.64055556,-124.9427778,9/2/1999,47.63964,-124.930693,127.2021018,33.53052178,7.612612128,147.1886748,143.3520996,7.745601376,807.8049326
9/3/2003,47.72861111,-124.8533333,9/3/1999,47.72973,-124.851485,94.48307437,33.37557446,7.740645747,159.7696178,155.6491417,7.778793684,744.8895846
9/3/2003,47.84111111,-125.0133333,9/3/1999,47.837838,-125.009901,120.316555,33.50418546,7.714492908,146.9083377,143.0884685,7.746142496,808.1072471
9/3/2003,47.83888889,-125.1055556,9/3/1999,47.837838,-125.115512,219.2493414,33.91203221,7.083130095,120.1567907,116.9341771,7.689195046,922.1585992
9/3/2003,47.71388889,-125.2277778,9/3/1999,47.711712,-125.221122,779.3597812,34.23498344,4.328659191,54.80724118,53.17194079,7.585374542,1124.5128
9/3/2003,47.65944444,-125.1563889,9/3/1999,47.657658,-125.168317,637.7554737,34.16746729,4.911265509,74.08144717,71.92529564,7.615877197,1054.115867
9/4/2003,48.095,-125.8552778,9/4/1999,48.09009,-125.854785,850.6550349,34.25642343,4.084898938,54.68019971,53.02942934,7.584667693,1115.676802
9/4/2003,47.93666667,-125.7483333,9/4/1999,47.927928,-125.749175,928.1877405,34.29922698,3.89980241,56.62347659,54.89209325,7.586142238,1099.570789
9/4/2003,47.76916667,-125.7058333,9/4/1999,47.765766,-125.69637,1125.607008,34.36672553,3.364036864,45.27864682,43.85065014,7.566484798,1133.139216
9/5/2003,48.34388889,-125.0066667,9/5/1999,48.342342,-125.009901,229.8235523,33.85798316,6.755140758,133.8714445,130.2740762,7.690167827,905.2470137
9/5/2003,48.32916667,-125.3244444,9/5/1999,48.324324,-125.326733,110.1973918,33.73327052,7.107538273,132.683299,129.2055696,7.71584775,870.0839233
9/5/2003,48.2275,-125.1786111,9/5/1999,48.234234,-125.168317,180.3184441,33.79565473,6.953974835,140.2238726,136.4963171,7.736387373,818.4264437
9/6/2003,48.16055556,-124.895,9/6/1999,48.162162,-124.90429,82.87149435,33.38379348,7.844170932,160.9371636,156.7961455,7.785745149,733.6672434
9/6/2003,48.0925,-125.0327778,9/6/1999,48.09009,-125.036304,257.4430347,33.89479156,6.828647133,131.9313632,128.3679832,7.714478114,857.5797707
9/6/2003,48.15611111,-125.1158333,9/6/1999,48.162162,-125.115512,209.105876,33.88885697,6.802469766,133.4069705,129.831893,7.717612096,854.1726857
9/6/2003,47.99777778,-124.9575,9/6/1999,48,-124.957096,98.67630574,33.45697641,7.629602083,147.9813213,144.1509539,7.75659704,789.5943434
9/7/2003,48.00277778,-125.2280556,9/7/1999,48,-125.221122,160.5760871,33.65253882,7.402420213,133.226729,129.7187816,7.710422223,879.0849482
9/7/2003,48.04388889,-125.1322222,9/7/1999,48.036036,-125.141914,140.5029034,33.58166838,7.620609179,137.2644142,133.6734853,7.717803068,865.6863619
9/7/2003,48.07694444,-125.3247222,9/7/1999,48.072072,-125.326733,221.4561626,34.01388129,6.537292967,120.1388555,116.8975956,7.69495591,905.1573586
9/7/2003,48.11388889,-125.6038889,9/7/1999,48.108108,-125.590759,153.7527743,33.77457783,6.871200823,123.2262246,119.9653114,7.693888865,914.1417543
9/8/2003,47.29555556,-124.8802778,9/8/1999,47.297297,-124.877888,383.5929869,34.09881735,6.148242185,80.94419237,78.69412491,7.622242593,1073.672101
9/8/2003,47.2925,-124.7641667,9/8/1999,47.297297,-124.772277,209.5220121,33.83857341,6.871182154,109.5870471,106.6554198,7.668157001,972.3016002
9/8/2003,47.02916667,-124.6841667,9/8/1999,47.027027,-124.693069,106.9807617,33.36452046,7.906457676,151.6834949,147.7680779,7.754425214,792.47203
9/12/2003,46.59055556,-124.6869444,9/12/1999,46.594595,-124.693069,705.880735,34.21030261,4.625656066,74.05337507,71.87134598,7.619454263,1035.012989
