crab_year,period,n_days,min_date,max_date
2016-17,12,14,2017-04-04,2017-04-17
2016-17,13,14,2017-04-18,2017-05-01
2016-17,14,14,2017-05-02,2017-05-15
2016-17,15,14,2017-05-16,2017-05-29
2016-17,16,14,2017-05-30,2017-06-12
2016-17,17,14,2017-06-13,2017-06-26
2016-17,18,14,2017-06-27,2017-07-10
2016-17,19,14,2017-07-11,2017-07-24
2016-17,20,14,2017-07-25,2017-08-07
2016-17,21,14,2017-08-08,2017-08-21
2016-17,22,14,2017-08-22,2017-09-04
2016-17,23,14,2017-09-05,2017-09-18
2016-17,24,14,2017-09-19,2017-10-02
2016-17,25,14,2017-10-03,2017-10-16
2016-17,26,15,2017-10-17,2017-10-31
2017-18,1,14,2017-11-01,2017-11-14
2017-18,2,14,2017-11-15,2017-11-28
2017-18,3,14,2017-11-29,2017-12-12
2017-18,4,14,2017-12-13,2017-12-26
2017-18,5,14,2017-12-27,2018-01-09
2017-18,6,14,2018-01-10,2018-01-23
2017-18,7,14,2018-01-24,2018-02-06
2017-18,8,14,2018-02-07,2018-02-20
2017-18,9,14,2018-02-21,2018-03-06
2017-18,10,14,2018-03-07,2018-03-20
2017-18,11,14,2018-03-21,2018-04-03
2017-18,12,14,2018-04-04,2018-04-17
2017-18,13,14,2018-04-18,2018-05-01
2017-18,14,14,2018-05-02,2018-05-15
2017-18,15,14,2018-05-16,2018-05-29
2017-18,16,14,2018-05-30,2018-06-12
2017-18,17,14,2018-06-13,2018-06-26
2017-18,18,14,2018-06-27,2018-07-10
2017-18,19,14,2018-07-11,2018-07-24
2017-18,20,14,2018-07-25,2018-08-07
2017-18,21,14,2018-08-08,2018-08-21
2017-18,22,14,2018-08-22,2018-09-04
2017-18,23,14,2018-09-05,2018-09-18
2017-18,24,14,2018-09-19,2018-10-02
2017-18,25,14,2018-10-03,2018-10-16
2017-18,26,15,2018-10-17,2018-10-31
2018-19,1,14,2018-11-01,2018-11-14
2018-19,2,14,2018-11-15,2018-11-28
2018-19,3,14,2018-11-29,2018-12-12
2018-19,4,14,2018-12-13,2018-12-26
2018-19,5,14,2018-12-27,2019-01-09
2018-19,6,14,2019-01-10,2019-01-23
2018-19,7,14,2019-01-24,2019-02-06
2018-19,8,14,2019-02-07,2019-02-20
2018-19,9,14,2019-02-21,2019-03-06
2018-19,10,14,2019-03-07,2019-03-20
2018-19,11,14,2019-03-21,2019-04-03
2018-19,12,14,2019-04-04,2019-04-17
2018-19,13,14,2019-04-18,2019-05-01
2018-19,14,14,2019-05-02,2019-05-15
2018-19,15,14,2019-05-16,2019-05-29
2018-19,16,14,2019-05-30,2019-06-12
2018-19,17,14,2019-06-13,2019-06-26
2018-19,18,14,2019-06-27,2019-07-10
2018-19,19,14,2019-07-11,2019-07-24
2018-19,20,14,2019-07-25,2019-08-07
2018-19,21,14,2019-08-08,2019-08-21
2018-19,22,14,2019-08-22,2019-09-04
2018-19,23,14,2019-09-05,2019-09-18
2018-19,24,14,2019-09-19,2019-10-02
2018-19,25,14,2019-10-03,2019-10-16
2018-19,26,15,2019-10-17,2019-10-31
2019-20,1,14,2019-11-01,2019-11-14
2019-20,2,14,2019-11-15,2019-11-28
2019-20,3,14,2019-11-29,2019-12-12
2019-20,4,14,2019-12-13,2019-12-26
2019-20,5,14,2019-12-27,2020-01-09
2019-20,6,14,2020-01-10,2020-01-23
2019-20,7,14,2020-01-24,2020-02-06
2019-20,8,14,2020-02-07,2020-02-20
2019-20,9,14,2020-02-21,2020-03-05
2019-20,10,14,2020-03-06,2020-03-19
2019-20,11,14,2020-03-20,2020-04-02
2019-20,12,14,2020-04-03,2020-04-16
2019-20,13,14,2020-04-17,2020-04-30
2019-20,14,14,2020-05-01,2020-05-14
2019-20,15,14,2020-05-15,2020-05-28
2019-20,16,14,2020-05-29,2020-06-11
2019-20,17,14,2020-06-12,2020-06-25
2019-20,18,14,2020-06-26,2020-07-09
2019-20,19,14,2020-07-10,2020-07-23
2019-20,20,14,2020-07-24,2020-08-06
2019-20,21,14,2020-08-07,2020-08-20
2019-20,22,14,2020-08-21,2020-09-03
2019-20,23,14,2020-09-04,2020-09-17
2019-20,24,14,2020-09-18,2020-10-01
2019-20,25,14,2020-10-02,2020-10-15
2019-20,26,16,2020-10-16,2020-10-31
2020-21,1,14,2020-11-01,2020-11-14
2020-21,2,14,2020-11-15,2020-11-28
2020-21,3,14,2020-11-29,2020-12-12
2020-21,4,14,2020-12-13,2020-12-26
2020-21,5,14,2020-12-27,2021-01-09
2020-21,6,14,2021-01-10,2021-01-23
2020-21,7,14,2021-01-24,2021-02-06
2020-21,8,14,2021-02-07,2021-02-20
2020-21,9,14,2021-02-21,2021-03-06
2020-21,10,14,2021-03-07,2021-03-20
2020-21,11,14,2021-03-21,2021-04-03
2020-21,12,14,2021-04-04,2021-04-17
2020-21,13,14,2021-04-18,2021-05-01
2020-21,14,14,2021-05-02,2021-05-15
2020-21,15,14,2021-05-16,2021-05-29
2020-21,16,14,2021-05-30,2021-06-12
2020-21,17,14,2021-06-13,2021-06-26
2020-21,18,14,2021-06-27,2021-07-10
2020-21,19,14,2021-07-11,2021-07-24
2020-21,20,14,2021-07-25,2021-08-07
2020-21,21,14,2021-08-08,2021-08-21
2020-21,22,14,2021-08-22,2021-09-04
2020-21,23,14,2021-09-05,2021-09-18
2020-21,24,14,2021-09-19,2021-10-02
2020-21,25,14,2021-10-03,2021-10-16
2020-21,26,15,2021-10-17,2021-10-31
2021-22,1,14,2021-11-01,2021-11-14
2021-22,2,14,2021-11-15,2021-11-28
2021-22,3,14,2021-11-29,2021-12-12
2021-22,4,14,2021-12-13,2021-12-26
2021-22,5,14,2021-12-27,2022-01-09
2021-22,6,14,2022-01-10,2022-01-23
2021-22,7,14,2022-01-24,2022-02-06
2021-22,8,14,2022-02-07,2022-02-20
2021-22,9,14,2022-02-21,2022-03-06
2021-22,10,14,2022-03-07,2022-03-20
2021-22,11,14,2022-03-21,2022-04-03
2021-22,12,14,2022-04-04,2022-04-17
2021-22,13,14,2022-04-18,2022-05-01
2021-22,14,14,2022-05-02,2022-05-15
2021-22,15,14,2022-05-16,2022-05-29
2021-22,16,14,2022-05-30,2022-06-12
2021-22,17,14,2022-06-13,2022-06-26
2021-22,18,14,2022-06-27,2022-07-10
2021-22,19,14,2022-07-11,2022-07-24
2021-22,20,14,2022-07-25,2022-08-07
2021-22,21,14,2022-08-08,2022-08-21
2021-22,22,14,2022-08-22,2022-09-04
2021-22,23,14,2022-09-05,2022-09-18
2021-22,24,14,2022-09-19,2022-10-02
2021-22,25,14,2022-10-03,2022-10-16
2021-22,26,15,2022-10-17,2022-10-31
2022-23,1,14,2022-11-01,2022-11-14
2022-23,2,14,2022-11-15,2022-11-28
2022-23,3,14,2022-11-29,2022-12-12
2022-23,4,14,2022-12-13,2022-12-26
2022-23,5,14,2022-12-27,2023-01-09
2022-23,6,14,2023-01-10,2023-01-23
2022-23,7,14,2023-01-24,2023-02-06
2022-23,8,14,2023-02-07,2023-02-20
2022-23,9,14,2023-02-21,2023-03-06
2022-23,10,14,2023-03-07,2023-03-20
2022-23,11,14,2023-03-21,2023-04-03
2022-23,12,14,2023-04-04,2023-04-17
2022-23,13,14,2023-04-18,2023-05-01
2022-23,14,14,2023-05-02,2023-05-15
2022-23,15,14,2023-05-16,2023-05-29
2022-23,16,14,2023-05-30,2023-06-12
2022-23,17,14,2023-06-13,2023-06-26
2022-23,18,14,2023-06-27,2023-07-10
2022-23,19,14,2023-07-11,2023-07-24
2022-23,20,14,2023-07-25,2023-08-07
2022-23,21,14,2023-08-08,2023-08-21
2022-23,22,14,2023-08-22,2023-09-04
2022-23,23,14,2023-09-05,2023-09-18
2022-23,24,14,2023-09-19,2023-10-02
2022-23,25,14,2023-10-03,2023-10-16
2022-23,26,15,2023-10-17,2023-10-31
