crab_year,period,n_days,min_date,max_date
2014-15,1,14,2014-11-01,2014-11-14
2014-15,2,14,2014-11-15,2014-11-28
2014-15,3,14,2014-11-29,2014-12-12
2014-15,4,14,2014-12-13,2014-12-26
2014-15,5,14,2014-12-27,2015-01-09
2014-15,6,14,2015-01-10,2015-01-23
2014-15,7,14,2015-01-24,2015-02-06
2014-15,8,14,2015-02-07,2015-02-20
2014-15,9,14,2015-02-21,2015-03-06
2014-15,10,14,2015-03-07,2015-03-20
2014-15,11,14,2015-03-21,2015-04-03
2014-15,12,14,2015-04-04,2015-04-17
2014-15,13,14,2015-04-18,2015-05-01
2014-15,14,14,2015-05-02,2015-05-15
2014-15,15,14,2015-05-16,2015-05-29
2014-15,16,14,2015-05-30,2015-06-12
2014-15,17,14,2015-06-13,2015-06-26
2014-15,18,14,2015-06-27,2015-07-10
2014-15,19,14,2015-07-11,2015-07-24
2014-15,20,14,2015-07-25,2015-08-07
2014-15,21,14,2015-08-08,2015-08-21
2014-15,22,14,2015-08-22,2015-09-04
2014-15,23,14,2015-09-05,2015-09-18
2014-15,24,14,2015-09-19,2015-10-02
2014-15,25,14,2015-10-03,2015-10-16
2014-15,26,15,2015-10-17,2015-10-31
2015-16,1,14,2015-11-01,2015-11-14
2015-16,2,14,2015-11-15,2015-11-28
2015-16,3,14,2015-11-29,2015-12-12
2015-16,4,14,2015-12-13,2015-12-26
2015-16,5,14,2015-12-27,2016-01-09
2015-16,6,14,2016-01-10,2016-01-23
2015-16,7,14,2016-01-24,2016-02-06
2015-16,8,14,2016-02-07,2016-02-20
2015-16,9,14,2016-02-21,2016-03-05
2015-16,10,14,2016-03-06,2016-03-19
2015-16,11,14,2016-03-20,2016-04-02
2015-16,12,14,2016-04-03,2016-04-16
2015-16,13,14,2016-04-17,2016-04-30
2015-16,14,14,2016-05-01,2016-05-14
2015-16,15,14,2016-05-15,2016-05-28
2015-16,16,14,2016-05-29,2016-06-11
2015-16,17,14,2016-06-12,2016-06-25
2015-16,18,14,2016-06-26,2016-07-09
2015-16,19,14,2016-07-10,2016-07-23
2015-16,20,14,2016-07-24,2016-08-06
2015-16,21,14,2016-08-07,2016-08-20
2015-16,22,14,2016-08-21,2016-09-03
2015-16,23,14,2016-09-04,2016-09-17
2015-16,24,14,2016-09-18,2016-10-01
2015-16,25,14,2016-10-02,2016-10-15
2015-16,26,16,2016-10-16,2016-10-31
2016-17,1,14,2016-11-01,2016-11-14
2016-17,2,14,2016-11-15,2016-11-28
2016-17,3,14,2016-11-29,2016-12-12
2016-17,4,14,2016-12-13,2016-12-26
2016-17,5,14,2016-12-27,2017-01-09
2016-17,6,14,2017-01-10,2017-01-23
2016-17,7,14,2017-01-24,2017-02-06
2016-17,8,14,2017-02-07,2017-02-20
2016-17,9,14,2017-02-21,2017-03-06
2016-17,10,14,2017-03-07,2017-03-20
2016-17,11,14,2017-03-21,2017-04-03
