id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd
1,20-fm (37-m) Contour - Washington,48,23.9,N,124,44.2,W,48.3983,-124.7367
2,20-fm (37-m) Contour - Washington,48,23.6,N,124,44.9,W,48.3933,-124.7483
3,20-fm (37-m) Contour - Washington,48,18.6,N,124,43.6,W,48.3100,-124.7267
4,20-fm (37-m) Contour - Washington,48,18.6,N,124,48.2,W,48.3100,-124.8033
5,20-fm (37-m) Contour - Washington,48,10,N,124,48.8,W,48.1667,-124.8133
6,20-fm (37-m) Contour - Washington,48,2.4,N,124,49.3,W,48.0400,-124.8217
7,20-fm (37-m) Contour - Washington,47,37.6,N,124,34.3,W,47.6267,-124.5717
8,20-fm (37-m) Contour - Washington,47,31.7,N,124,32.4,W,47.5283,-124.5400
9,20-fm (37-m) Contour - Washington,47,17.9,N,124,25,W,47.2983,-124.4167
10,20-fm (37-m) Contour - Washington,46,58.8,N,124,18.3,W,46.9800,-124.3050
11,20-fm (37-m) Contour - Washington,46,47.4,N,124,12.7,W,46.7900,-124.2117
12,20-fm (37-m) Contour - Washington,46,38.17,N,124,12.4,W,46.6362,-124.2067
13,20-fm (37-m) Contour - Washington,46,16,N,124,11.5,W,46.2667,-124.1917
14,20-fm (37-m) Contour - Oregon,46,16.01,N,124,11.56,W,46.2668,-124.1926
15,20-fm (37-m) Contour - Oregon,46,15.09,N,124,11.33,W,46.2515,-124.1889
16,20-fm (37-m) Contour - Oregon,46,11.94,N,124,8.51,W,46.1990,-124.1419
17,20-fm (37-m) Contour - Oregon,46,8.02,N,124,4.06,W,46.1337,-124.0676
18,20-fm (37-m) Contour - Oregon,46,5.05,N,124,2.13,W,46.0842,-124.0355
19,20-fm (37-m) Contour - Oregon,46,2.19,N,124,1.35,W,46.0365,-124.0225
20,20-fm (37-m) Contour - Oregon,45,58.28,N,124,1.7,W,45.9713,-124.0284
21,20-fm (37-m) Contour - Oregon,45,55.64,N,124,1.16,W,45.9273,-124.0193
22,20-fm (37-m) Contour - Oregon,45,52.61,N,124,0.33,W,45.8768,-124.0055
23,20-fm (37-m) Contour - Oregon,45,48.43,N,124,0.65,W,45.8072,-124.0109
24,20-fm (37-m) Contour - Oregon,45,46.59,N,124,0.79,W,45.7765,-124.0132
25,20-fm (37-m) Contour - Oregon,45,45,N,124,0.54,W,45.7667,-124.0089
26,20-fm (37-m) Contour - Oregon,45,46,N,124,0.53,W,45.7666,-124.0089
