id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd
1,250-fm (457-m) Contour - Coastwide - Petrale,48,14.71,N,125,41.95,W,48.24516667,-125.6991667
2,250-fm (457-m) Contour - Coastwide - Petrale,48,13.00,N,125,39.00,W,48.21666667,-125.65
3,250-fm (457-m) Contour - Coastwide - Petrale,48,10.00,N,125,43.00,W,48.16666667,-125.7166667
4,250-fm (457-m) Contour - Coastwide - Petrale,48,08.50,N,125,45.00,W,48.14166667,-125.75
5,250-fm (457-m) Contour - Coastwide - Petrale,48,06.00,N,125,46.50,W,48.1,-125.775
6,250-fm (457-m) Contour - Coastwide - Petrale,48,03.50,N,125,37.00,W,48.05833333,-125.6166667
7,250-fm (457-m) Contour - Coastwide - Petrale,48,01.50,N,125,40.00,W,48.025,-125.6666667
8,250-fm (457-m) Contour - Coastwide - Petrale,47,57.00,N,125,37.00,W,47.95,-125.6166667
9,250-fm (457-m) Contour - Coastwide - Petrale,47,55.50,N,125,28.50,W,47.925,-125.475
10,250-fm (457-m) Contour - Coastwide - Petrale,47,58.00,N,125,25.00,W,47.96666667,-125.4166667
11,250-fm (457-m) Contour - Coastwide - Petrale,48,00.50,N,125,24.50,W,48.00833333,-125.4083333
12,250-fm (457-m) Contour - Coastwide - Petrale,48,03.50,N,125,21.00,W,48.05833333,-125.35
13,250-fm (457-m) Contour - Coastwide - Petrale,48,02.00,N,125,19.50,W,48.03333333,-125.325
14,250-fm (457-m) Contour - Coastwide - Petrale,48,00.00,N,125,21.00,W,48,-125.35
15,250-fm (457-m) Contour - Coastwide - Petrale,47,58.00,N,125,20.00,W,47.96666667,-125.3333333
16,250-fm (457-m) Contour - Coastwide - Petrale,47,58.00,N,125,18.00,W,47.96666667,-125.3
17,250-fm (457-m) Contour - Coastwide - Petrale,47,52.00,N,125,16.50,W,47.86666667,-125.275
18,250-fm (457-m) Contour - Coastwide - Petrale,47,46.00,N,125,06.00,W,47.76666667,-125.1
19,250-fm (457-m) Contour - Coastwide - Petrale,47,44.50,N,125,07.50,W,47.74166667,-125.125
20,250-fm (457-m) Contour - Coastwide - Petrale,47,42.00,N,125,06.00,W,47.7,-125.1
21,250-fm (457-m) Contour - Coastwide - Petrale,47,37.96,N,125,07.17,W,47.63266667,-125.1195
22,250-fm (457-m) Contour - Coastwide - Petrale,47,28.00,N,124,58.50,W,47.46666667,-124.975
23,250-fm (457-m) Contour - Coastwide - Petrale,47,28.88,N,124,54.70,W,47.48133333,-124.9116667
24,250-fm (457-m) Contour - Coastwide - Petrale,47,27.70,N,124,51.87,W,47.46166667,-124.8645
25,250-fm (457-m) Contour - Coastwide - Petrale,47,24.84,N,124,48.45,W,47.414,-124.8075
26,250-fm (457-m) Contour - Coastwide - Petrale,47,21.76,N,124,47.42,W,47.36266667,-124.7903333
27,250-fm (457-m) Contour - Coastwide - Petrale,47,18.84,N,124,46.75,W,47.314,-124.7791667
28,250-fm (457-m) Contour - Coastwide - Petrale,47,19.82,N,124,51.43,W,47.33033333,-124.8571667
29,250-fm (457-m) Contour - Coastwide - Petrale,47,18.13,N,124,54.25,W,47.30216667,-124.9041667
30,250-fm (457-m) Contour - Coastwide - Petrale,47,13.50,N,124,54.70,W,47.225,-124.9116667
31,250-fm (457-m) Contour - Coastwide - Petrale,47,15.00,N,125,01.10,W,47.25,-125.0183333
32,250-fm (457-m) Contour - Coastwide - Petrale,47,08.77,N,125,00.91,W,47.14616667,-125.0151667
33,250-fm (457-m) Contour - Coastwide - Petrale,47,05.80,N,125,01.00,W,47.09666667,-125.0166667
34,250-fm (457-m) Contour - Coastwide - Petrale,47,03.34,N,124,57.49,W,47.05566667,-124.9581667
35,250-fm (457-m) Contour - Coastwide - Petrale,47,01.00,N,125,00.00,W,47.01666667,-125
36,250-fm (457-m) Contour - Coastwide - Petrale,46,55.00,N,125,02.00,W,46.91666667,-125.0333333
37,250-fm (457-m) Contour - Coastwide - Petrale,46,53.32,N,125,00.00,W,46.88866667,-125
38,250-fm (457-m) Contour - Coastwide - Petrale,46,51.55,N,125,00.00,W,46.85916667,-125
39,250-fm (457-m) Contour - Coastwide - Petrale,46,50.80,N,124,56.90,W,46.84666667,-124.9483333
40,250-fm (457-m) Contour - Coastwide - Petrale,46,47.00,N,124,55.00,W,46.78333333,-124.9166667
41,250-fm (457-m) Contour - Coastwide - Petrale,46,38.17,N,124,43.45,W,46.63616667,-124.7242179
42,250-fm (457-m) Contour - Coastwide - Petrale,46,34.00,N,124,38.00,W,46.56666667,-124.6333333
43,250-fm (457-m) Contour - Coastwide - Petrale,46,30.50,N,124,41.00,W,46.50833333,-124.6833333
44,250-fm (457-m) Contour - Coastwide - Petrale,46,33.00,N,124,32.00,W,46.55,-124.5333333
45,250-fm (457-m) Contour - Coastwide - Petrale,46,29.00,N,124,32.00,W,46.48333333,-124.5333333
46,250-fm (457-m) Contour - Coastwide - Petrale,46,20.00,N,124,39.00,W,46.33333333,-124.65
47,250-fm (457-m) Contour - Coastwide - Petrale,46,18.16,N,124,40.00,W,46.30266667,-124.6666667
48,250-fm (457-m) Contour - Coastwide - Petrale,46,16.00,N,124,27.00,W,46.26666667,-124.45
49,250-fm (457-m) Contour - Coastwide - Petrale,46,15.00,N,124,30.96,W,46.25,-124.516
50,250-fm (457-m) Contour - Coastwide - Petrale,46,13.17,N,124,38.76,W,46.2195,-124.646
51,250-fm (457-m) Contour - Coastwide - Petrale,46,10.51,N,124,41.99,W,46.17516667,-124.6998333
52,250-fm (457-m) Contour - Coastwide - Petrale,46,06.24,N,124,41.81,W,46.104,-124.6968333
53,250-fm (457-m) Contour - Coastwide - Petrale,46,03.04,N,124,50.26,W,46.05066667,-124.8376667
54,250-fm (457-m) Contour - Coastwide - Petrale,45,56.99,N,124,45.45,W,45.94983333,-124.7575
55,250-fm (457-m) Contour - Coastwide - Petrale,45,49.94,N,124,45.75,W,45.83233333,-124.7625
56,250-fm (457-m) Contour - Coastwide - Petrale,45,49.94,N,124,42.33,W,45.83233333,-124.7055
57,250-fm (457-m) Contour - Coastwide - Petrale,45,46.00,N,124,42.19,W,45.76666667,-124.7031603
58,250-fm (457-m) Contour - Coastwide - Petrale,45,45.73,N,124,42.18,W,45.76216667,-124.703
59,250-fm (457-m) Contour - Coastwide - Petrale,45,45.73,N,124,43.82,W,45.76216667,-124.7303333
60,250-fm (457-m) Contour - Coastwide - Petrale,45,41.94,N,124,43.61,W,45.699,-124.7268333
61,250-fm (457-m) Contour - Coastwide - Petrale,45,41.58,N,124,39.86,W,45.693,-124.6643333
62,250-fm (457-m) Contour - Coastwide - Petrale,45,38.45,N,124,39.94,W,45.64083333,-124.6656667
63,250-fm (457-m) Contour - Coastwide - Petrale,45,35.75,N,124,42.91,W,45.59583333,-124.7151667
64,250-fm (457-m) Contour - Coastwide - Petrale,45,24.49,N,124,38.20,W,45.40816667,-124.6366667
65,250-fm (457-m) Contour - Coastwide - Petrale,45,14.43,N,124,39.05,W,45.2405,-124.6508333
66,250-fm (457-m) Contour - Coastwide - Petrale,45,14.30,N,124,34.19,W,45.23833333,-124.5698333
67,250-fm (457-m) Contour - Coastwide - Petrale,45,08.98,N,124,34.26,W,45.14966667,-124.571
68,250-fm (457-m) Contour - Coastwide - Petrale,45,09.02,N,124,38.81,W,45.15033333,-124.6468333
69,250-fm (457-m) Contour - Coastwide - Petrale,45,03.83,N,124,37.95,W,45.06383333,-124.632495
70,250-fm (457-m) Contour - Coastwide - Petrale,44,57.98,N,124,36.98,W,44.96633333,-124.6163333
71,250-fm (457-m) Contour - Coastwide - Petrale,44,56.62,N,124,38.32,W,44.94366667,-124.6386667
72,250-fm (457-m) Contour - Coastwide - Petrale,44,50.82,N,124,35.52,W,44.847,-124.592
73,250-fm (457-m) Contour - Coastwide - Petrale,44,46.89,N,124,38.32,W,44.7815,-124.6386667
74,250-fm (457-m) Contour - Coastwide - Petrale,44,50.78,N,124,44.24,W,44.84633333,-124.7373333
75,250-fm (457-m) Contour - Coastwide - Petrale,44,44.27,N,124,50.78,W,44.73783333,-124.8463333
76,250-fm (457-m) Contour - Coastwide - Petrale,44,32.63,N,124,54.24,W,44.54383333,-124.904
77,250-fm (457-m) Contour - Coastwide - Petrale,44,23.25,N,124,49.78,W,44.3875,-124.8296667
78,250-fm (457-m) Contour - Coastwide - Petrale,44,13.16,N,124,58.81,W,44.21933333,-124.9801667
79,250-fm (457-m) Contour - Coastwide - Petrale,43,57.88,N,124,58.25,W,43.96466667,-124.9708333
80,250-fm (457-m) Contour - Coastwide - Petrale,43,56.89,N,124,57.33,W,43.94816667,-124.9555
81,250-fm (457-m) Contour - Coastwide - Petrale,43,53.41,N,124,51.95,W,43.89016667,-124.8658333
82,250-fm (457-m) Contour - Coastwide - Petrale,43,51.56,N,124,47.38,W,43.85933333,-124.7896667
83,250-fm (457-m) Contour - Coastwide - Petrale,43,51.49,N,124,37.77,W,43.85816667,-124.6295
84,250-fm (457-m) Contour - Coastwide - Petrale,43,48.02,N,124,43.31,W,43.80033333,-124.7218333
85,250-fm (457-m) Contour - Coastwide - Petrale,43,42.77,N,124,41.39,W,43.71283333,-124.6898333
86,250-fm (457-m) Contour - Coastwide - Petrale,43,24.09,N,124,42.57,W,43.4015,-124.7095
87,250-fm (457-m) Contour - Coastwide - Petrale,43,20.83,N,124,44.45,W,43.34716667,-124.7409037
88,250-fm (457-m) Contour - Coastwide - Petrale,43,19.73,N,124,45.09,W,43.32883333,-124.7515
89,250-fm (457-m) Contour - Coastwide - Petrale,43,15.98,N,124,47.76,W,43.26633333,-124.796
90,250-fm (457-m) Contour - Coastwide - Petrale,43,04.14,N,124,52.55,W,43.069,-124.8758333
91,250-fm (457-m) Contour - Coastwide - Petrale,43,04.00,N,124,53.88,W,43.06666667,-124.898
92,250-fm (457-m) Contour - Coastwide - Petrale,42,54.69,N,124,54.54,W,42.9115,-124.909
93,250-fm (457-m) Contour - Coastwide - Petrale,42,50.00,N,124,51.91,W,42.83333333,-124.8651978
94,250-fm (457-m) Contour - Coastwide - Petrale,42,45.46,N,124,49.37,W,42.75766667,-124.8228333
95,250-fm (457-m) Contour - Coastwide - Petrale,42,43.91,N,124,45.90,W,42.73183333,-124.765
96,250-fm (457-m) Contour - Coastwide - Petrale,42,40.50,N,124,44.19,W,42.675,-124.7365273
97,250-fm (457-m) Contour - Coastwide - Petrale,42,38.84,N,124,43.36,W,42.64733333,-124.7226667
98,250-fm (457-m) Contour - Coastwide - Petrale,42,34.82,N,124,46.56,W,42.58033333,-124.776
99,250-fm (457-m) Contour - Coastwide - Petrale,42,31.57,N,124,46.86,W,42.52616667,-124.781
100,250-fm (457-m) Contour - Coastwide - Petrale,42,30.98,N,124,44.27,W,42.51633333,-124.7378333
101,250-fm (457-m) Contour - Coastwide - Petrale,42,29.21,N,124,46.93,W,42.48683333,-124.7821667
102,250-fm (457-m) Contour - Coastwide - Petrale,42,28.52,N,124,49.40,W,42.47533333,-124.8233333
103,250-fm (457-m) Contour - Coastwide - Petrale,42,26.06,N,124,46.61,W,42.43433333,-124.7768333
104,250-fm (457-m) Contour - Coastwide - Petrale,42,21.82,N,124,43.76,W,42.36366667,-124.7293333
105,250-fm (457-m) Contour - Coastwide - Petrale,42,17.47,N,124,38.89,W,42.29116667,-124.6481667
106,250-fm (457-m) Contour - Coastwide - Petrale,42,13.67,N,124,37.51,W,42.22783333,-124.6251667
107,250-fm (457-m) Contour - Coastwide - Petrale,42,13.76,N,124,40.03,W,42.22933333,-124.6671667
108,250-fm (457-m) Contour - Coastwide - Petrale,42,05.12,N,124,39.06,W,42.08533333,-124.651
109,250-fm (457-m) Contour - Coastwide - Petrale,42,02.67,N,124,38.41,W,42.0445,-124.6401667
110,250-fm (457-m) Contour - Coastwide - Petrale,42,02.67,N,124,35.95,W,42.0445,-124.5991667
111,250-fm (457-m) Contour - Coastwide - Petrale,42,00.00,N,124,36.83,W,42,-124.6138333
112,250-fm (457-m) Contour - Coastwide - Petrale,41,47.79,N,124,29.48,W,41.7965,-124.4913333
113,250-fm (457-m) Contour - Coastwide - Petrale,41,21.01,N,124,29.01,W,41.35016667,-124.4835
114,250-fm (457-m) Contour - Coastwide - Petrale,41,13.50,N,124,24.40,W,41.225,-124.4066667
115,250-fm (457-m) Contour - Coastwide - Petrale,41,11.00,N,124,22.99,W,41.18333333,-124.3831667
116,250-fm (457-m) Contour - Coastwide - Petrale,41,06.69,N,124,23.30,W,41.1115,-124.3883333
117,250-fm (457-m) Contour - Coastwide - Petrale,40,54.73,N,124,28.15,W,40.91216667,-124.4691667
118,250-fm (457-m) Contour - Coastwide - Petrale,40,53.95,N,124,26.04,W,40.89916667,-124.434
119,250-fm (457-m) Contour - Coastwide - Petrale,40,50.27,N,124,26.20,W,40.83783333,-124.4366667
120,250-fm (457-m) Contour - Coastwide - Petrale,40,44.49,N,124,30.81,W,40.7415,-124.5135
121,250-fm (457-m) Contour - Coastwide - Petrale,40,40.63,N,124,32.14,W,40.67716667,-124.5356667
122,250-fm (457-m) Contour - Coastwide - Petrale,40,38.96,N,124,30.04,W,40.64933333,-124.5006667
123,250-fm (457-m) Contour - Coastwide - Petrale,40,35.67,N,124,30.43,W,40.5945,-124.5071667
124,250-fm (457-m) Contour - Coastwide - Petrale,40,37.41,N,124,37.06,W,40.6235,-124.6176667
125,250-fm (457-m) Contour - Coastwide - Petrale,40,36.09,N,124,40.11,W,40.6015,-124.6685
126,250-fm (457-m) Contour - Coastwide - Petrale,40,31.35,N,124,40.98,W,40.5225,-124.683
127,250-fm (457-m) Contour - Coastwide - Petrale,40,30.00,N,124,37.48,W,40.5,-124.6246667
128,250-fm (457-m) Contour - Coastwide - Petrale,40,27.34,N,124,37.28,W,40.45566667,-124.6213333
129,250-fm (457-m) Contour - Coastwide - Petrale,40,25.01,N,124,36.36,W,40.41683333,-124.606
130,250-fm (457-m) Contour - Coastwide - Petrale,40,22.28,N,124,31.83,W,40.37133333,-124.5305
131,250-fm (457-m) Contour - Coastwide - Petrale,40,13.68,N,124,33.10,W,40.228,-124.5516667
132,250-fm (457-m) Contour - Coastwide - Petrale,40,10.00,N,124,24.55,W,40.16666667,-124.4091667
133,250-fm (457-m) Contour - Coastwide - Petrale,40,06.45,N,124,19.24,W,40.1075,-124.3206667
134,250-fm (457-m) Contour - Coastwide - Petrale,40,07.08,N,124,17.80,W,40.118,-124.2966667
135,250-fm (457-m) Contour - Coastwide - Petrale,40,05.55,N,124,18.11,W,40.0925,-124.3018333
136,250-fm (457-m) Contour - Coastwide - Petrale,40,04.74,N,124,18.11,W,40.079,-124.3018333
137,250-fm (457-m) Contour - Coastwide - Petrale,40,02.35,N,124,16.53,W,40.03916667,-124.2755
138,250-fm (457-m) Contour - Coastwide - Petrale,40,01.13,N,124,12.98,W,40.01883333,-124.2163333
139,250-fm (457-m) Contour - Coastwide - Petrale,40,01.52,N,124,09.83,W,40.02533333,-124.1638333
140,250-fm (457-m) Contour - Coastwide - Petrale,39,58.54,N,124,12.43,W,39.97566667,-124.2071667
141,250-fm (457-m) Contour - Coastwide - Petrale,39,55.72,N,124,07.44,W,39.92866667,-124.124
142,250-fm (457-m) Contour - Coastwide - Petrale,39,42.64,N,124,02.52,W,39.71066667,-124.042
143,250-fm (457-m) Contour - Coastwide - Petrale,39,35.96,N,123,59.47,W,39.59933333,-123.9911667
144,250-fm (457-m) Contour - Coastwide - Petrale,39,34.61,N,123,59.58,W,39.57683333,-123.993
145,250-fm (457-m) Contour - Coastwide - Petrale,39,33.79,N,123,56.77,W,39.56316667,-123.9461667
146,250-fm (457-m) Contour - Coastwide - Petrale,39,33.03,N,123,57.06,W,39.5505,-123.951
147,250-fm (457-m) Contour - Coastwide - Petrale,39,32.21,N,123,59.12,W,39.53683333,-123.9853333
148,250-fm (457-m) Contour - Coastwide - Petrale,39,07.81,N,123,59.06,W,39.13016667,-123.9843333
149,250-fm (457-m) Contour - Coastwide - Petrale,38,57.50,N,123,57.25,W,38.95833333,-123.9541667
150,250-fm (457-m) Contour - Coastwide - Petrale,38,52.26,N,123,56.18,W,38.871,-123.9363333
151,250-fm (457-m) Contour - Coastwide - Petrale,38,50.21,N,123,55.48,W,38.83683333,-123.9246667
152,250-fm (457-m) Contour - Coastwide - Petrale,38,46.81,N,123,51.49,W,38.78016667,-123.8581667
153,250-fm (457-m) Contour - Coastwide - Petrale,38,45.29,N,123,51.55,W,38.75483333,-123.8591667
154,250-fm (457-m) Contour - Coastwide - Petrale,38,42.76,N,123,49.73,W,38.71266667,-123.8288333
155,250-fm (457-m) Contour - Coastwide - Petrale,38,41.26,N,123,47.28,W,38.68766667,-123.788
156,250-fm (457-m) Contour - Coastwide - Petrale,38,35.75,N,123,43.76,W,38.59583333,-123.7293333
157,250-fm (457-m) Contour - Coastwide - Petrale,38,34.93,N,123,42.46,W,38.58216667,-123.7076667
158,250-fm (457-m) Contour - Coastwide - Petrale,38,19.95,N,123,32.90,W,38.3325,-123.5483333
159,250-fm (457-m) Contour - Coastwide - Petrale,38,14.38,N,123,25.51,W,38.23966667,-123.4251667
160,250-fm (457-m) Contour - Coastwide - Petrale,38,09.39,N,123,24.39,W,38.1565,-123.4065
161,250-fm (457-m) Contour - Coastwide - Petrale,38,10.18,N,123,27.11,W,38.16966667,-123.4518333
162,250-fm (457-m) Contour - Coastwide - Petrale,38,04.64,N,123,31.97,W,38.07733333,-123.5328333
163,250-fm (457-m) Contour - Coastwide - Petrale,38,02.06,N,123,31.26,W,38.03433333,-123.521
164,250-fm (457-m) Contour - Coastwide - Petrale,38,00.00,N,123,29.64,W,38,-123.494
165,250-fm (457-m) Contour - Coastwide - Petrale,37,58.19,N,123,27.40,W,37.96983333,-123.4566667
166,250-fm (457-m) Contour - Coastwide - Petrale,37,50.62,N,123,24.51,W,37.84366667,-123.4085
167,250-fm (457-m) Contour - Coastwide - Petrale,37,43.82,N,123,11.69,W,37.73033333,-123.1948333
168,250-fm (457-m) Contour - Coastwide - Petrale,37,35.67,N,123,02.62,W,37.5945,-123.0436667
169,250-fm (457-m) Contour - Coastwide - Petrale,37,23.53,N,122,58.65,W,37.39216667,-122.9775
170,250-fm (457-m) Contour - Coastwide - Petrale,37,23.23,N,122,53.78,W,37.38716667,-122.8963333
171,250-fm (457-m) Contour - Coastwide - Petrale,37,13.97,N,122,49.91,W,37.23283333,-122.8318333
172,250-fm (457-m) Contour - Coastwide - Petrale,37,11.00,N,122,45.61,W,37.18333333,-122.7601667
173,250-fm (457-m) Contour - Coastwide - Petrale,37,07.00,N,122,44.76,W,37.11666667,-122.746
174,250-fm (457-m) Contour - Coastwide - Petrale,36,59.99,N,122,38.49,W,36.99983333,-122.6415
175,250-fm (457-m) Contour - Coastwide - Petrale,36,56.64,N,122,28.78,W,36.944,-122.4796667
176,250-fm (457-m) Contour - Coastwide - Petrale,36,58.93,N,122,25.67,W,36.98216667,-122.4278333
177,250-fm (457-m) Contour - Coastwide - Petrale,36,56.19,N,122,25.67,W,36.9365,-122.4278333
178,250-fm (457-m) Contour - Coastwide - Petrale,36,57.09,N,122,22.85,W,36.9515,-122.3808333
179,250-fm (457-m) Contour - Coastwide - Petrale,36,54.95,N,122,22.63,W,36.91583333,-122.3771667
180,250-fm (457-m) Contour - Coastwide - Petrale,36,52.25,N,122,13.94,W,36.87083333,-122.2323333
181,250-fm (457-m) Contour - Coastwide - Petrale,36,46.94,N,122,07.90,W,36.78233333,-122.1316667
182,250-fm (457-m) Contour - Coastwide - Petrale,36,47.12,N,122,03.99,W,36.78533333,-122.0665
183,250-fm (457-m) Contour - Coastwide - Petrale,36,23.87,N,122,00.00,W,36.39783333,-122
184,250-fm (457-m) Contour - Coastwide - Petrale,36,22.17,N,122,01.19,W,36.3695,-122.0198333
185,250-fm (457-m) Contour - Coastwide - Petrale,36,19.61,N,122,06.29,W,36.32683333,-122.1048333
186,250-fm (457-m) Contour - Coastwide - Petrale,36,14.73,N,122,01.55,W,36.2455,-122.0258333
187,250-fm (457-m) Contour - Coastwide - Petrale,36,09.47,N,121,45.37,W,36.15783333,-121.7561667
188,250-fm (457-m) Contour - Coastwide - Petrale,36,06.42,N,121,41.34,W,36.107,-121.689
189,250-fm (457-m) Contour - Coastwide - Petrale,36,00.07,N,121,37.68,W,36.00116667,-121.628
190,250-fm (457-m) Contour - Coastwide - Petrale,36,00.00,N,121,37.66,W,36,-121.6276667
191,250-fm (457-m) Contour - Coastwide - Petrale,35,52.25,N,121,33.21,W,35.87083333,-121.5535
192,250-fm (457-m) Contour - Coastwide - Petrale,35,51.09,N,121,31.83,W,35.8515,-121.5305
193,250-fm (457-m) Contour - Coastwide - Petrale,35,46.47,N,121,31.19,W,35.7745,-121.5198333
194,250-fm (457-m) Contour - Coastwide - Petrale,35,33.97,N,121,21.69,W,35.56616667,-121.3615
