id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd,,
1,200-fm (366-m) Contour - Coastwide - Petrale ,48,14.75,N,125,41.73,W,48.24583333,-125.6955,,
2,200-fm (366-m) Contour - Coastwide - Petrale ,48,12.85,N,125,38.06,W,48.21416667,-125.6343333,,
3,200-fm (366-m) Contour - Coastwide - Petrale ,48,10.00,N,125,41.82,W,48.16667,-125.6970,,
4,200-fm (366-m) Contour - Coastwide - Petrale ,48,07.10,N,125,45.65,W,48.11833333,-125.7608333,,
5,200-fm (366-m) Contour - Coastwide - Petrale ,48,05.71,N,125,44.69,W,48.09516667,-125.7448333,,
6,200-fm (366-m) Contour - Coastwide - Petrale ,48,04.07,N,125,36.96,W,48.06783333,-125.616,,
7,200-fm (366-m) Contour - Coastwide - Petrale ,48,03.05,N,125,36.38,W,48.05083333,-125.6063333,,
8,200-fm (366-m) Contour - Coastwide - Petrale ,48,01.98,N,125,37.41,W,48.033,-125.6235,,
9,200-fm (366-m) Contour - Coastwide - Petrale ,48,01.46,N,125,39.61,W,48.02433333,-125.6601667,,
10,200-fm (366-m) Contour - Coastwide - Petrale ,47,56.94,N,125,36.65,W,47.949,-125.6108333,,
11,200-fm (366-m) Contour - Coastwide - Petrale ,47,55.77,N,125,30.13,W,47.9295,-125.5021667,,
12,200-fm (366-m) Contour - Coastwide - Petrale ,47,55.65,N,125,28.46,W,47.9275,-125.4743333,,
13,200-fm (366-m) Contour - Coastwide - Petrale ,47,58.11,N,125,26.60,W,47.9685,-125.4433333,,
14,200-fm (366-m) Contour - Coastwide - Petrale ,48,00.40,N,125,24.83,W,48.00666667,-125.4138333,,
15,200-fm (366-m) Contour - Coastwide - Petrale ,48,02.04,N,125,22.90,W,48.034,-125.381667,,
16,200-fm (366-m) Contour - Coastwide - Petrale ,48,03.60,N,125,21.84,W,48.06,-125.364,,
17,200-fm (366-m) Contour - Coastwide - Petrale ,48,03.98,N,125,20.65,W,48.06633333,-125.3441667,,
18,200-fm (366-m) Contour - Coastwide - Petrale ,48,03.26,N,125,19.76,W,48.05433333,-125.3293333,,
