id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd
1,10-fm (18-m) Contour - Washington,48,23.8,N,124,44.18,W,48.3967,-124.7363
2,10-fm (18-m) Contour - Washington,48,23.6,N,124,44.8,W,48.3933,-124.7467
3,10-fm (18-m) Contour - Washington,48,23.45,N,124,44.8,W,48.3908,-124.7467
4,10-fm (18-m) Contour - Washington,48,23.3,N,124,44.2,W,48.3883,-124.7367
5,10-fm (18-m) Contour - Washington,48,22.2,N,124,44.3,W,48.3700,-124.7383
6,10-fm (18-m) Contour - Washington,48,20.25,N,124,42.2,W,48.3375,-124.7033
7,10-fm (18-m) Contour - Washington,48,12.8,N,124,43.1,W,48.2133,-124.7183
8,10-fm (18-m) Contour - Washington,48,11.1,N,124,46.5,W,48.1850,-124.7750
9,10-fm (18-m) Contour - Washington,48,10,N,124,46.5,W,48.1667,-124.7750
10,10-fm (18-m) Contour - Washington,48,8.5,N,124,44.2,W,48.1417,-124.7367
11,10-fm (18-m) Contour - Washington,47,59.4,N,124,42.5,W,47.9900,-124.7083
12,10-fm (18-m) Contour - Washington,47,52.6,N,124,38.8,W,47.8767,-124.6467
13,10-fm (18-m) Contour - Washington,47,51.5,N,124,34.6,W,47.8583,-124.5767
14,10-fm (18-m) Contour - Washington,47,39.8,N,124,28.1,W,47.6633,-124.4683
15,10-fm (18-m) Contour - Washington,47,31.7,N,124,26.3,W,47.5283,-124.4383
16,10-fm (18-m) Contour - Washington,47,25.2,N,124,24.8,W,47.4200,-124.4133
17,10-fm (18-m) Contour - Washington,47,9.8,N,124,15.2,W,47.1633,-124.2533
18,10-fm (18-m) Contour - Washington,46,54.4,N,124,14.8,W,46.9067,-124.2467
19,10-fm (18-m) Contour - Washington,46,48.3,N,124,10.25,W,46.8050,-124.1708
20,10-fm (18-m) Contour - Washington,46,38.17,N,124,10.3,W,46.6362,-124.1717
21,10-fm (18-m) Contour - Washington,46,27.2,N,124,6.5,W,46.4533,-124.1083
22,10-fm (18-m) Contour - Washington,46,16,N,124,10,W,46.2667,-124.1667
