id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd,
148,150-fm (274-m) Contour - N 40 10 - Petrale,41,41.67,N,124,29.46,W,41.69442,-124.49100,
149,150-fm (274-m) Contour - N 40 10 - Petrale,41,22.80,N,124,29.10,W,41.38004,-124.48500,
150,150-fm (274-m) Contour - N 40 10 - Petrale,41,13.29,N,124,23.31,W,41.22150,-124.38850,
151,150-fm (274-m) Contour - N 40 10 - Petrale,41,06.23,N,124,22.62,W,41.10383,-124.37700,
152,150-fm (274-m) Contour - N 40 10 - Petrale,40,55.60,N,124,26.04,W,40.92667,-124.43400,
153,150-fm (274-m) Contour - N 40 10 - Petrale,40,53.97,N,124,26.16,W,40.89948,-124.43600,
154,150-fm (274-m) Contour - N 40 10 - Petrale,40,53.94,N,124,26.10,W,40.89900,-124.43500,
155,150-fm (274-m) Contour - N 40 10 - Petrale,40,50.31,N,124,26.16,W,40.83850,-124.43600,
156,150-fm (274-m) Contour - N 40 10 - Petrale,40,49.82,N,124,26.58,W,40.83026,-124.44300,
157,150-fm (274-m) Contour - N 40 10 - Petrale,40,49.62,N,124,26.57,W,40.82700,-124.44283,
158,150-fm (274-m) Contour - N 40 10 - Petrale,40,45.72,N,124,30.00,W,40.76200,-124.50000,
159,150-fm (274-m) Contour - N 40 10 - Petrale,40,40.56,N,124,32.11,W,40.67600,-124.53517,
160,150-fm (274-m) Contour - N 40 10 - Petrale,40,38.87,N,124,30.18,W,40.64783,-124.50300,
161,150-fm (274-m) Contour - N 40 10 - Petrale,40,38.38,N,124,30.18,W,40.63966,-124.50300,
162,150-fm (274-m) Contour - N 40 10 - Petrale,40,37.33,N,124,29.27,W,40.62217,-124.48783,
163,150-fm (274-m) Contour - N 40 10 - Petrale,40,35.60,N,124,30.49,W,40.59333,-124.50817,
164,150-fm (274-m) Contour - N 40 10 - Petrale,40,37.38,N,124,37.14,W,40.62300,-124.61900,
165,150-fm (274-m) Contour - N 40 10 - Petrale,40,36.03,N,124,39.97,W,40.60050,-124.66617,
166,150-fm (274-m) Contour - N 40 10 - Petrale,40,31.58,N,124,40.74,W,40.52633,-124.67900,
167,150-fm (274-m) Contour - N 40 10 - Petrale,40,30.30,N,124,37.63,W,40.505,-124.62717,
168,150-fm (274-m) Contour - N 40 10 - Petrale,40,28.22,N,124,37.23,W,40.47033,-124.62050,
169,150-fm (274-m) Contour - N 40 10 - Petrale,40,24.86,N,124,35.71,W,40.41433,-124.59517,
170,150-fm (274-m) Contour - N 40 10 - Petrale,40,23.01,N,124,31.94,W,40.38350,-124.53233,
171,150-fm (274-m) Contour - N 40 10 - Petrale,40,23.39,N,124,28.64,W,40.38983,-124.47733,
172,150-fm (274-m) Contour - N 40 10 - Petrale,40,22.29,N,124,25.25,W,40.37150,-124.42083,
173,150-fm (274-m) Contour - N 40 10 - Petrale,40,21.90,N,124,25.18,W,40.36500,-124.41967,
174,150-fm (274-m) Contour - N 40 10 - Petrale,40,22.02,N,124,28.00,W,40.36700,-124.46667,
175,150-fm (274-m) Contour - N 40 10 - Petrale,40,21.34,N,124,29.53,W,40.35567,-124.49217,
176,150-fm (274-m) Contour - N 40 10 - Petrale,40,19.74,N,124,28.95,W,40.32900,-124.48250,
177,150-fm (274-m) Contour - N 40 10 - Petrale,40,18.13,N,124,27.08,W,40.30217,-124.45133,
178,150-fm (274-m) Contour - N 40 10 - Petrale,40,17.45,N,124,25.53,W,40.29083,-124.42550,
179,150-fm (274-m) Contour - N 40 10 - Petrale,40,17.97,N,124,24.12,W,40.29950,-124.40200,
180,150-fm (274-m) Contour - N 40 10 - Petrale,40,15.96,N,124,26.05,W,40.26600,-124.43417,
181,150-fm (274-m) Contour - N 40 10 - Petrale,40,16.90,N,124,34.20,W,40.28172,-124.57000,
182,150-fm (274-m) Contour - N 40 10 - Petrale,40,16.29,N,124,34.50,W,40.27150,-124.57500,
183,150-fm (274-m) Contour - N 40 10 - Petrale,40,14.91,N,124,33.60,W,40.24857,-124.56000,
184,150-fm (274-m) Contour - N 40 10 - Petrale,40,10.00,N,124,22.96,W,40.16667,-124.38267,
