id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd
1,25-fm (46-m) Contour - Washington,47,31.7,N,124,34.7,W,47.5283,-124.5783
2,25-fm (46-m) Contour - Washington,47,25.7,N,124,33,W,47.4283,-124.5500
3,25-fm (46-m) Contour - Washington,47,12.8,N,124,26,W,47.2133,-124.4333
4,25-fm (46-m) Contour - Washington,46,53,N,124,21,W,46.8833,-124.3500
5,25-fm (46-m) Contour - Washington,46,44.2,N,124,15,W,46.7367,-124.2500
6,25-fm (46-m) Contour - Washington,46,38.17,N,124,13.7,W,46.6362,-124.2283
7,25-fm (46-m) Contour - Washington,46,16,N,124,12.5,W,46.2667,-124.2083
8,25-fm (46-m) Contour - Oregon,46,15.99,N,124,12.04,W,46.2665,-124.2006
9,25-fm (46-m) Contour - Oregon,46,13.72,N,124,11.04,W,46.2287,-124.1840
10,25-fm (46-m) Contour - Oregon,46,9.5,N,124,7.62,W,46.1583,-124.1270
11,25-fm (46-m) Contour - Oregon,46,4,N,124,3.2,W,46.0666,-124.0533
12,25-fm (46-m) Contour - Oregon,45,57.61,N,124,1.85,W,45.9601,-124.0309
13,25-fm (46-m) Contour - Oregon,45,51.73,N,124,1.06,W,45.8622,-124.0176
14,25-fm (46-m) Contour - Oregon,45,47.27,N,124,1.22,W,45.7878,-124.0204
15,25-fm (46-m) Contour - Oregon,45,46,N,124,0.94,W,45.7667,-124.0157
16,25-fm (46-m) Contour - Oregon,45,43.19,N,124,0.32,W,45.7199,-124.0053
17,25-fm (46-m) Contour - Oregon,45,36.11,N,124,0.38,W,45.6019,-124.0064
18,25-fm (46-m) Contour - Oregon,45,32.95,N,124,1.38,W,45.5492,-124.0230
19,25-fm (46-m) Contour - Oregon,45,27.47,N,124,1.46,W,45.4578,-124.0244
20,25-fm (46-m) Contour - Oregon,45,23.18,N,124,1.94,W,45.3863,-124.0324
21,25-fm (46-m) Contour - Oregon,45,19.04,N,124,1.29,W,45.3173,-124.0215
22,25-fm (46-m) Contour - Oregon,45,16.79,N,124,1.9,W,45.2798,-124.0316
23,25-fm (46-m) Contour - Oregon,45,13.54,N,124,1.64,W,45.2256,-124.0273
24,25-fm (46-m) Contour - Oregon,45,9.56,N,124,1.94,W,45.1594,-124.0323
25,25-fm (46-m) Contour - Oregon,45,6.15,N,124,2.38,W,45.1025,-124.0396
26,25-fm (46-m) Contour - Oregon,45,3.83,N,124,2.96,W,45.0638,-124.0493
27,25-fm (46-m) Contour - Oregon,45,0.77,N,124,3.72,W,45.0129,-124.0620
